69,69(体位)
1boy,1个男孩
1girl,1个女孩
about_to_be_raped,将要被强暴
absurdres,超高分辨率
adjusting_thighhigh,调整过膝袜
ahoge,呆毛
album,专辑
all_fours,四肢趴地
anal_beads,肛珠
anal_fisting,拳爆菊
anal_insertion,菊花插入物
angel,天使
animated_gif,gif格式图片
apron,围裙
areolae,乳晕
arm_support,用手支撑住
armlet,臂环
armpit,腋
arms_behind_back,手放在身后
arms_crossed,手交叉于胸前
arms_up,抬手
aroused,性兴奋
arrow,箭
artificial_vagina,人工阴道
artist_request,"作者未知	需要补完"
ass,屁股
babydoll,透明睡衣
back,背影像
back-to-back,背对背
bad_id,ID转向错误(原地址或已被删除)
ballgag,球塞
bandage,绷带
bandaid,创可贴
bangs,刘海
bat_wings,蝙蝠翅膀
bell,铃铛
belt,腰带
bent_over,翘臀姿势
beret,贝雷帽
bestiality,人兽
bike_shorts,自行车短裤
bikini,比基尼
bitgag,棍塞
black_eyes,黑眼
black_hair,黑发
black_thighhighs,黑色过膝袜
blonde_hair,金发
blood,血
bloomers,灯笼裤
blue_eyes,蓝眼
blue_hair,蓝发
blunt_bangs,齐刘海
blush,脸红的
body_writing,身上有字
bondage,捆绑/奴役
bound_arms,手臂捆绑
bound_wrists,手腕捆绑
bra,胸罩
bracelet,手镯
braid,辫子
breast_feeding,喂奶（小）
breast_grab,摸乳
breast_smother,把头塞入胸
breast_sucking,吸乳（中）
brown_eyes,棕眼
brown_hair,棕发
building,建筑
bunny_ears,兔耳
business_suit,职场制服
bust,半身像
butterfly_wings,蝴蝶翅膀
buttjob,臀交
cake,蛋糕
camera,相机
cane,手杖
cape,披肩/斗篷/披风
caramelldansen,某著名伸手扭腰动作
cat_ears,猫耳
cat_pose,猫爪手势
censored,审核过的/有码
cervix,子宫口
chains,锁链
chair,椅子
cheerleader,拉拉队
cherry_blossoms,樱花
chibi,Q版人物
chinadress,旗袍
Chinese,中文
chinese_clothes,唐装
chopsticks,筷子
christmas,圣诞节
cigarette,香烟
cleavage,乳沟
clitoris,阴蒂
cock_in_thighhigh,插在过膝袜里
cock_ring,屌环
collar,项圈
collarbone,锁骨
colorful,色彩斑斓的
comic,漫画
cosplay,角色扮演
covr,封面
cowgirl_position,女上正骑
crazy,疯狂的
cream,奶油
crease,起皱
cross-section,透视人体内部
crotch_rope,胯下捆绑
crotch_rub,胯部摩擦
cuffs,手链/手铐
cum_inside,内射
cum_on_breast,射在胸上
cum_on_food,射在食物上
cum_on_hair,射在头发上
cunnilingus,舔阴
curly_hair,卷发
curtsy,屈膝礼
dagger,匕首/短剑
dakimakura,抱枕
dark,暗的
dark_persona,黑化的
deepthroat,深喉
devil,魔鬼（撒旦）
diaper,尿布
dildo,假屌
dog_ears,狗耳
double_anal,双重爆菊
double_dildo,双头龙
double_penetration,双穴同插
double_vaginal,双重入穴
dress,连衣裙
drill_hair,钻头卷/公主卷
drunk,喝醉的
earrings,耳环
egg_vibrator,跳蛋
endured_face,忍耐的表情
enema,灌肠
English,英文
expressionless,无表情的
expressions,表情绘
eyelid_pull,拉眼皮吐舌鬼脸
eyepatch,眼罩(独眼)
eyes_closed,闭眼
faceless_male,无脸男
facepaint,面纹
facesitting,坐在脸上
facial,颜射
fangs,尖牙
fellatio,口交
female,女性
female_ejaculation,潮吹
fetal_position,曲腿至胸
fine_art_parody,名画模仿
finger_gun,手枪手势
fingerless_gloves,露指手套
fingersmile,用手指做出笑脸
fishnet_pantyhose,渔网袜
fishnet_stockings,渔网袜
fisting,拳头插入
flower_petals,花瓣
foot,脚
footjob,足交
forest,森林/树
fox_ears,狐耳
French,法文
frogtie,青蛙捆绑
frown,皱眉/蹙额
fruit_insertion,用水果蔬菜
full_moon,满月
gag,口塞
game_cg,游戏CG
gangbang,轮奸
giantess,女巨人
girl_on_top,女上体位
gloves,手套
goggles,风镜
gohei,御币
gokkun,吃精
gothic,哥特风格
gothic_lolita,哥特洛丽塔风格
gradient_background,渐变的背景
green_eyes,绿眼
green_hair,绿发
grey_eye,灰眼
grey_hair,灰发
grin,露齿而笑
guitar,吉他
gun,枪
guro,猎奇
gym_uniform,运动服
hair_ribbon,发带
hairband,发卡
hairclip,发夹
hairjob,发交
halloween,万圣节
halo,头顶光环
hand_to_mouth,手放在嘴边
handcuffs,手铐
handgun,手枪
handjob,用手做
happy_sex,快乐做爱
harem,后宫
have_to_pee,憋尿
heterochromia,异色瞳
high_heels,高跟鞋
highres,高分辨率
hime_cut,姬发式
himopan,系带式内裤
hips,臀部
hitachi_magic_wand,按摩棒
hogtie,曲膝捆绑
holding,拿着
holding_hands,牵手
hood,兜帽
horns,兽角
hreesome,3P
hug,拥抱
huge_ass,大屁股
huge_filesize,超级高分辨率/大文件
incest,乱伦
incredibly_absurdres,极高分辨率
insertion,插入物
Japanese,日本人
knee_boots,马靴
kneeling,下跪
kneepits,膝盖内侧
lantern,灯笼
lap_pillow,膝枕
leash,宠物链
leg_hug,抱腿
legwear,裹腿
lips,嘴唇
loli,萝莉
long_hair,长发
long_sleeves,长袖
looking_at_viewer,看着你
looking_back,向后看
loose_socks,泡泡袜
low_leg_panties,低腰式内裤
lowleg_panties,低腰式内裤
lowres,低分辨率
maebari,阴贴/乳贴
magic_circle,魔法阵
magical_girl,魔法少女
maid,女仆
maid_headdress,女仆头饰
male,男性
mary_janes,玛丽珍鞋
masturbation,自慰
mermaid,美人鱼
messy_hair,凌乱发型
microphone,麦克风
midriff,露腰上衣
miko,巫女
milf,熟女
mini_top_hat,迷你礼帽
minigirl,迷你女孩
miniskirt,迷你裙
missionary,传教士体位
molestation,性骚扰
monochrome,单色图片
monster,怪物
mound_of_venus,腹部三角带
mouse_ears,老鼠耳朵
multiple_insertions,一穴多插
muscle,肌肉
naked,裸体的
naked_apron,裸体围裙
naked_cape,裸体披风
naked_overalls,裸体工作服
naked_ribbon,裸体丝带
naked_shirt,裸体衬衫
naughty_face,下流的表情
navel,肚脐
necklace,项链
necktie,领带
nipple_pull,啦乳头
nipple_suck,吸乳（中）
nipple_torture,虐乳头
nipples,乳头
no_bra,无胸罩
nosebleed,鼻血
nude,裸体的
nun,修女
nurse_cap,护士帽
nyotaimori,女体盛
obento,便当
ocean,大海
ofuda,札符
on_stomach,趴着
open_clothes,敞开衣服
open_robe,敞开长袍
optical_illusion,视觉错误
oral,口交
original,原创
paizuri,乳交
pajamas,睡衣
panty_gag,用内裤塞口
panty_pull,内裤拉下来
pantyhose,连裤袜
pantyshot,内裤走光
payot,长鬓角
pegging,女性使用假屌
penetration,异物插入
pentagram,五角星
personification,拟人
photo,照片
piano,钢琴
pillory,枷锁
pink_thighhighs,粉色过膝袜
pleated_skirt,百褶裙
pointy_ears,尖耳
ponytail,马尾
pregnant,怀孕
princess_carry,公主抱
profile,侧面绘
pubic_hair,阴毛
purple_eyes,紫发
purple_hair,紫发
real,真实
red_eyes,红眼
red_hair,红发
reverse_cowgirl,女上反骑
ring_gag,扩口器
robe,长袍
rolleyes,眼球上翻
rope,绳子
ruins,废墟/遗迹
sad,悲伤的
sailor_collar,水手领
sake,日本酒
saliva,唾液
salute,敬礼
santa,圣诞装
scarf,围巾
school_uniform,学校制服
seiza,正坐
serafuku,水手服
shaved_pussy,剃过阴毛的（无毛B）
short_hair,短发
short_ponytail,短马尾
shorts,短裤
shota,正太
shy,害羞的
siblings,兄弟姐妹
side_ponytail,侧马尾
silhouette,剪影
silver_eyes,银眼
silver_hair,银发
sisters,姐妹
sitting,坐着
sketch,素描
skinny,骨感
skirt_lift,掀起裙子
slave,奴隶
sleeping,睡觉
slippers,拖鞋
slit_pupils,竖的瞳孔/猫眼
smelling,闻
socks,短袜
solo,单人
spanked,打屁股
stare,凝视
stockings,丝袜
stocks,枷锁
straddle,跨坐
striped_panties,条纹内裤
striped_socks,横条袜
striped_thighhighs,条纹过膝袜
suit,西装
summer_dress,夏日长裙
sunset,落日
swimsuit,泳装
symmetrical_hand_pose,手对手
tagme,图片有一些上传者未知的项目
tail,尾巴
taiyaki,鲷鱼烧
tamakeri,蛋疼
tan_lines,晒日线
tapegag,胶带封口
tartan,格子花纹
tattoo,纹身
teacup,茶杯
tears,眼泪
tentacle,触手
thigh_gap,股沟
thighhighs,过膝袜
thighs,大腿
thong,丁字裤
tiara,三重冕
tie,领带
toes,脚趾
tongue,舌头
top-down_bottom-up,趴着翘臀
torn_clothes,破烂衣服
torn_thighhighs,损坏了的过膝袜
traditional_media,传统媒体（手绘稿）
translation_request,翻译
trap,伪娘
trefoil,三角裤给你看
tribadism,磨豆腐
triple_penetration,三穴同插
tsurime,吊眼角
twin_braids,双辫子
twintails,双马尾
umbrella,伞
uncensored,未审核的/无码
underwater_sex,水中做爱
underwear,内衣
